기기명,주소,위도,경도,평일시간,휴일시간
광주중부신협 본점,광주광역시 서구 죽봉대로119번길 10(광천동),35.16460972,126.8827699,08:00~24:00,08:00~24:00
광주도시철도 상무역,광주광역시 서구 상무대로 지하 777(마륵동),35.14680916,126.8487864,05:00-03:00,05:00-03:00
서창동 행정복지센터,광주광역시 서구 눌재로 412(세하동),35.11449975,126.8302906,05:00-03:00,05:00-03:00
유덕동 행정복지센터,광주광역시 서구 유덕로 24(유촌동),35.16511096,126.851826,05:00-03:00,05:00-03:00
광천동 행정복지센터,광주광역시 서구 광천2길 9(광천동),35.1644926,126.8801613,09:00-18:00,00:00-00:00
KDB생명빌딩,광주광역시 서구 천변좌로 268(양동),35.15234363,126.9046146,08:00~19:00,08:00~19:00
화정4동 행정복지센터,광주광역시 서구 염화로83번길 3(화정동)[광주광역시 서구 화정동 919번지 1호],35.14182727,126.8737654,09:00-18:00,00:00-00:00
화정1동 행정복지센터,광주광역시 서구 내방로338번길 11(화정동)[광주광역시 서구 화정동 71번지 81호],35.15634548,126.8777206,09:00-18:00,00:00-00:00
상무2동 행정복지센터,광주광역시 서구 화정로85번길 17(쌍촌동)[광주광역시 서구 쌍촌동 1227번지 6호],35.14656434,126.8664223,09:00-18:00,00:00-00:00
상무1동 행정복지센터,광주광역시 서구 월드컵4강로197번길 20(쌍촌동)[광주광역시 서구 쌍촌동 333번지 7호],35.15377578,126.8674199,05:00-03:00,05:00-03:00
금호2동 행정복지센터,광주광역시 서구 풍금로 135(금호동)[광주광역시 서구 금호동 811번지 1호],35.12899182,126.8571559,05:00-03:00,05:00-03:00
금호1동 행정복지센터,광주광역시 서구 운천로31번길 17(금호동)[광주광역시 서구 금호동 747번지 8호],35.13518075,126.8571483,09:00-18:00,00:00-00:00
서광주세무서,광주광역시 서구 상무민주로6번길 31(쌍촌동)[광주광역시 서구 쌍촌동 627번지 7호],35.15189924,126.8620894,09:00-18:00,00:00-00:00
화정2동 행정복지센터,광주광역시 서구 화운로 94(화정동),35.1483372,126.8806458,05:00-03:00,05:00-03:00
치평동 행정복지센터2,광주광역시 서구 상무공원로 62(치평동),35.14994609,126.8433398,09:00~18:00,00:00-00:00
치평동 행정복지센터,광주광역시 서구 상무공원로 62(치평동),35.14994609,126.8433398,05:00-03:00,05:00-03:00
풍암동 행정복지센터,광주광역시 서구 풍암1로 27(풍암동),35.12475118,126.8786656,05:00-03:00,05:00-03:00
푸른새마을금고,광주광역시 서구 풍금로 40(풍암동)[광주광역시 서구 풍암동 932번지 6호],35.12288113,126.8634296,05:00-01:00,05:00-01:00
