"관리번호","무인민원발급기명","설치장소주소","설치장소상세위치","평일시작시분","평일종료시분","휴일시작시분","휴일종료시분","운영시간참고내용","설치운영URL","사용여부명","장애인편의발급기형태","시각장애인용키패드","시각장애인용음성안내","청각장애인용화면안내","점자라벨부착","이어폰소켓","촉각(전자)모니터","화면확대기능","휠체어탄사용자조작","최종수정일자"
"404","대방동주민센터","서울특별시 동작구 여의대방로44길 20(대방동)","1층 민원실","08:00 ","19:00 ","      ","      ","주밀 공휴일 미운영","http://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:33:33"
"111","사당4동주민센터","서울특별시 동작구 사당로20나길 3, 사당4동주민센터 1층 (사당동)","1층 민원실 내부","08:00 ","19:00 ","      ","      ","","https://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:33:12"
"109","노들역 3번출구","서울특별시 동작구 노량진로 지하238, 9호선 노들역 (본동)","지상1층, 3번 출구 후면","00:00 ","2400  ","00:00 ","2400  ","","https://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:32:56"
"508","화곡6동주민센터","서울특별시 강서구 공항대로46길 105 (화곡동)","화곡6동주민센터 1층 로비","09:00 ","18:00 ","      ","      ","주말 및 공휴일 이용 불가","https://www.gangseo.seoul.kr/gs0101071","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-28 13:49:04"
"107","상도4동주민센터","서울특별시 동작구 양녕로27길 44, 상도4동 주민편의 복합청사 (상도동)","1층 민원실 앞","08:00 ","19:00 ","      ","      ","","https://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:31:18"
"106","노량진1동주민센터","서울특별시 동작구 장승배기로28길 30, 노량진1동주민센터 (노량진동)","1층 민원실","08:00 ","19:00 ","      ","      ","주말 공휴일 미운영","http://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:31:09"
"105","사당1동주민센터","서울특별시 동작구 동작대로17길 28(사당동)[1004번지 52호]","2층 복도","08:00 ","19:00 ","      ","      ","주말 공휴일 미운영","http://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:30:59"
"102","상도1동주민센터","서울특별시 동작구 상도로53길 9(상도동)","1층 민원실","08:00 ","19:00 ","      ","      ","주말 공휴일 미운영","http://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:30:05"
"408","구파발역","서울특별시 은평구 진관2로 지하 15-25(진관동)[서울특별시 은평구 진관동 67번지 26호]","지하철 3호선 구파발역 3번출구","06:00 ","2400  ","06:00 ","2400  ","","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000000763","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-26 17:08:52"
"435","성북보건소","서울특별시 성북구 화랑로 63, 성북구보건소 (하월곡동)","1층 로비","09:00 ","17:00 ","      ","      ","","https://www.sb.go.kr/main/PageLink.do?link=forward:use/PageContent.do&menuNo=91000000&subMenuNo=91010000&thirdMenuNo=91010300&fourthMenuNo=","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-01-26 15:55:54"
